,Unnamed: 0,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP,PLAYER
10,10,76375,1967-68,0,1610612755,PHL,31.0,82,,3836.0,819,1377,0.595,,,,354,932,0.38,,,1952,702,,,,160,1992,24.7,0.557,9.7,10.7,20.4,,,,,Wilt Chamberlain
0,0,78392,1968-69,0,1610612764,BLT,23.0,82,,2970.0,427,897,0.476,,,,277,458,0.605,,,1491,213,,,,276,1131,18.1,0.515,3.8,7.0,10.8,,,,,Wes Unseld
5,5,77929,1969-70,0,1610612752,NYK,28.0,81,,3089.0,702,1385,0.507,,,,351,464,0.756,,,1126,161,,,,287,1755,20.3,0.552,7.2,7.5,14.6,,,,,Willis Reed
1,1,76003,1970-71,0,1610612749,MIL,24.0,82,82.0,3288.0,1063,1843,0.577,,,,470,681,0.69,,,1311,272,,,,264,2596,29.0,0.606,17.0,5.3,22.3,,,,,Kareem Abdul-Jabbar
2,2,76003,1971-72,0,1610612749,MIL,25.0,81,81.0,3583.0,1159,2019,0.574,,,,504,732,0.689,,,1346,370,,,,235,2822,29.9,0.603,18.3,7.1,25.4,,,,,Kareem Abdul-Jabbar
2,2,76462,1972-73,0,1610612738,BOS,24.0,82,,3425.0,740,1637,0.452,,,,204,262,0.779,,,1329,333,,,,311,1684,18.1,0.481,2.1,9.9,12.0,,,,,Dave Cowens
4,4,76003,1973-74,0,1610612749,MIL,27.0,81,81.0,3548.0,948,1759,0.539,,,,295,420,0.702,287.0,891.0,1178,386,112.0,283.0,,238,2191,24.4,0.564,10.6,7.9,18.4,5.0,2.5,7.5,8.6,Kareem Abdul-Jabbar
2,2,77498,1974-75,0,1610612746,BUF,23.0,82,,3539.0,1095,2138,0.512,,,,641,796,0.805,307.0,848.0,1155,179,92.0,174.0,,278,2831,25.8,0.569,12.7,5.1,17.8,5.1,-0.4,4.7,6.0,Bob McAdoo
6,6,76003,1975-76,0,1610612747,LAL,29.0,82,82.0,3379.0,914,1728,0.529,,,,447,636,0.703,272.0,1111.0,1383,413,119.0,338.0,,292,2275,27.2,0.567,9.8,7.2,17.0,5.5,3.0,8.5,9.0,Kareem Abdul-Jabbar
7,7,76003,1976-77,0,1610612747,LAL,30.0,82,82.0,3016.0,888,1533,0.579,,,,376,536,0.701,266.0,824.0,1090,319,101.0,261.0,,262,2152,27.8,0.608,11.9,5.9,17.8,6.8,2.6,9.4,8.7,Kareem Abdul-Jabbar
3,3,78450,1977-78,0,1610612757,POR,25.0,58,,1929.0,460,882,0.522,,,,177,246,0.72,118.0,648.0,766,291,60.0,146.0,206.0,145,1097,24.8,0.554,3.6,4.8,8.4,4.4,3.7,8.1,4.9,Bill Walton
4,4,77449,1978-79,0,1610612745,HOU,24.0,82,82.0,3390.0,716,1325,0.54,,,,599,811,0.739,587.0,857.0,1444,147,79.0,119.0,326.0,223,2031,23.7,0.604,10.6,3.5,14.1,4.5,-1.7,2.8,4.1,Moses Malone
10,10,76003,1979-80,0,1610612747,LAL,33.0,82,81.0,3143.0,835,1383,0.604,0.0,1.0,0.0,364,476,0.765,190.0,696.0,886,371,81.0,280.0,297.0,216,2034,25.3,0.639,9.5,5.3,14.8,4.8,2.4,7.2,7.3,Kareem Abdul-Jabbar
4,4,76681,1980-81,0,1610612755,PHL,31.0,82,,2874.0,794,1524,0.521,4.0,18.0,0.222,422,536,0.787,244.0,413.0,657,364,173.0,147.0,266.0,233,2014,25.1,0.572,7.8,6.1,13.8,5.2,2.3,7.5,6.9,Julius Erving
7,7,77449,1981-82,0,1610612745,HOU,27.0,81,81.0,3398.0,945,1822,0.519,0.0,6.0,0.0,630,827,0.762,558.0,630.0,1188,142,76.0,125.0,294.0,208,2520,26.8,0.576,11.7,3.7,15.4,6.2,-1.8,4.5,5.5,Moses Malone
